metric,k,result
manhattan,1,0.985
manhattan,3,0.9880000000000001
manhattan,5,0.9869999999999999
manhattan,7,0.9800000000000001
manhattan,9,0.982
manhattan,11,0.9799999999999999
manhattan,13,0.9810000000000001
euclidean,1,0.985
euclidean,3,0.986
euclidean,5,0.982
euclidean,7,0.982
euclidean,9,0.983
euclidean,11,0.983
euclidean,13,0.9790000000000001
chebyshev,1,0.983
chebyshev,3,0.986
chebyshev,5,0.9819999999999999
chebyshev,7,0.9809999999999999
chebyshev,9,0.9799999999999999
chebyshev,11,0.9810000000000001
chebyshev,13,0.982
minkowski1.5,1,0.985
minkowski1.5,3,999999999999
minkowski1.5,5,0.984
minkowski1.5,7,0.9800000000000001
minkowski1.5,9,0.983
minkowski1.5,11,0.9810000000000001
minkowski1.5,13,0.9799999999999999
minkowski3.0,1,0.984
minkowski3.0,3,0.985
minkowski3.0,5,0.984
minkowski3.0,7,0.982
minkowski3.0,9,0.9799999999999999
minkowski3.0,11,0.9810000000000001
minkowski3.0,13,0.9800000000000001
